pilot_id,pilot_lane,slot_number,demo_test_tag,participant_name,organization_name,contact_email,consent_status,enrollment_status,invite_status,start_date,end_date,tracked_campaign_url,day_1_assignment,day_3_assignment,day_5_assignment,day_7_assignment,day_10_assignment,day_14_assignment,first_visit_at,challenge_started_at,workflow_completed_at,feedback_result,feedback_detail,minutes_saved_self_reported,callback_avoided,missing_info_category,missing_info_detail,ease_score_1_to_5,returned_day_7,paid_interest,permissioned_story_status,permissioned_quote,story_approval_date,notes
DEMO-TECH-011,individual_tech,11,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-011&audience=field-tech&pilot_id=DEMO-TECH-011,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-012,individual_tech,12,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-012&audience=field-tech&pilot_id=DEMO-TECH-012,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-013,individual_tech,13,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-013&audience=field-tech&pilot_id=DEMO-TECH-013,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-014,individual_tech,14,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-014&audience=field-tech&pilot_id=DEMO-TECH-014,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-015,individual_tech,15,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-015&audience=field-tech&pilot_id=DEMO-TECH-015,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-016,individual_tech,16,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-016&audience=field-tech&pilot_id=DEMO-TECH-016,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-017,individual_tech,17,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-017&audience=field-tech&pilot_id=DEMO-TECH-017,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-018,individual_tech,18,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-018&audience=field-tech&pilot_id=DEMO-TECH-018,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-019,individual_tech,19,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-019&audience=field-tech&pilot_id=DEMO-TECH-019,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-020,individual_tech,20,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-020&audience=field-tech&pilot_id=DEMO-TECH-020,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-021,individual_tech,21,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-021&audience=field-tech&pilot_id=DEMO-TECH-021,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-022,individual_tech,22,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-022&audience=field-tech&pilot_id=DEMO-TECH-022,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-023,individual_tech,23,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-023&audience=field-tech&pilot_id=DEMO-TECH-023,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-024,individual_tech,24,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-024&audience=field-tech&pilot_id=DEMO-TECH-024,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-025,individual_tech,25,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-025&audience=field-tech&pilot_id=DEMO-TECH-025,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-COMPANY-001,service_company,1,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-company-001&audience=service-company&pilot_id=DEMO-COMPANY-001,Have one tech try a real code part or equipment family,Have a second role test a different real question,Have an owner or senior tech review one handoff,Repeat and rate team ease from 1 to 5,Report effects on callbacks parts friction or paperwork,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-COMPANY-002,service_company,2,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-company-002&audience=service-company&pilot_id=DEMO-COMPANY-002,Have one tech try a real code part or equipment family,Have a second role test a different real question,Have an owner or senior tech review one handoff,Repeat and rate team ease from 1 to 5,Report effects on callbacks parts friction or paperwork,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-COMPANY-003,service_company,3,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-company-003&audience=service-company&pilot_id=DEMO-COMPANY-003,Have one tech try a real code part or equipment family,Have a second role test a different real question,Have an owner or senior tech review one handoff,Repeat and rate team ease from 1 to 5,Report effects on callbacks parts friction or paperwork,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-COMPANY-004,service_company,4,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-company-004&audience=service-company&pilot_id=DEMO-COMPANY-004,Have one tech try a real code part or equipment family,Have a second role test a different real question,Have an owner or senior tech review one handoff,Repeat and rate team ease from 1 to 5,Report effects on callbacks parts friction or paperwork,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-COMPANY-005,service_company,5,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-company-005&audience=service-company&pilot_id=DEMO-COMPANY-005,Have one tech try a real code part or equipment family,Have a second role test a different real question,Have an owner or senior tech review one handoff,Repeat and rate team ease from 1 to 5,Report effects on callbacks parts friction or paperwork,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-FACILITY-001,facility_training,1,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-facility-001&audience=facility-training&pilot_id=DEMO-FACILITY-001,Complete one operator or learner scenario,Repeat with a different facility or learning question,Identify the operator-to-qualified-escalation boundary,Return and rate learner ease from 1 to 5,Report fit for daily operations or post-course reinforcement,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-FACILITY-002,facility_training,2,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-facility-002&audience=facility-training&pilot_id=DEMO-FACILITY-002,Complete one operator or learner scenario,Repeat with a different facility or learning question,Identify the operator-to-qualified-escalation boundary,Return and rate learner ease from 1 to 5,Report fit for daily operations or post-course reinforcement,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-FACILITY-003,facility_training,3,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-facility-003&audience=facility-training&pilot_id=DEMO-FACILITY-003,Complete one operator or learner scenario,Repeat with a different facility or learning question,Identify the operator-to-qualified-escalation boundary,Return and rate learner ease from 1 to 5,Report fit for daily operations or post-course reinforcement,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
